Отметка времени,"Единая учетная запись СПбГУ (например, ST000000)","Выберете интересующие Вас роли, в  IT [Бизнес и системный анализ]","Выберете интересующие Вас роли, в  IT [Дизайн UX / UI и проектирование интерфейсов]","Выберете интересующие Вас роли, в  IT [Анализ и инженерия данных]","Выберете интересующие Вас роли, в  IT [Backend - разработка]","Выберете интересующие Вас роли, в  IT [Frontend - разработка]","Выберете интересующие Вас роли, в  IT [Тестирование и обеспечение качества]","Выберете интересующие Вас роли, в  IT [Развертывание и внедрение]","Выберете интересующие Вас роли, в  IT [Управление командой / проектом]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Разработка веб-сервисов (сайты, сервисы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ текстов и поисковые движки]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ изображений / видео]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ временных рядов]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ табличных данных]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Робототехника (оборудование, теория управления, техническое зрение, интерфейсы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Gamedev]","Если в предыдущем вопросе для Вас не было интересного направления деятельности, расскажите нам об области, в которой Вы хотите развиваться","Если Вы уже работаете над интересным проектом или успешно завершили - опишите, что это за проект и свою роль в нем (можете добавить ссылку на репозиторий)","Оцените Ваши знания в области IT [Парадигмы программирования (ООП, функциональное, аспектно-ориентированное, и др.)]",Оцените Ваши знания в области IT [Архитектура ПО],Оцените Ваши знания в области IT [Паттерны проектирования],"Оцените Ваши знания в области IT [Протоколы коммуникаций (REST, gRPC, и др.)]",Оцените Ваши знания в области IT [Алгоритмы и структуры данных],Оцените Ваши знания в области IT [Потоки и параллельность],Оцените Ваши знания в области IT [Linux in dev and administration],Оцените Ваши знания в области IT [Windows in dev and administration],Оцените Ваши знания в области IT [Проектирование и оптимизация баз данных],Оцените Ваши знания в области IT [Data Science and Machine Learning],"Какими еще знаниями Вы владеете, релевантными для IT-отрасли и в какой степени? Перечислите их и оцените","Языки программирования (например: C++, Python, Java, etc)","Библиотеки и фреймворки для различных направлений использования (например: Qt, Numpy, Weka, Angular, PyTorch, etc)","Инструменты для проектирования, бизнес и системного анализа (например: BPMN, UML, Archimate, ARIS etc)","Инструменты для разработки ПО - например: VS Code, PyCharm, Git, etc)","Инструменты для тестирования  (например: GTests, Selenium, Gatling, pytest etc)","Инструменты CI / CD (например: Jenkins, Travis CI, Docker, etc)","Инструменты для управления проектами (например: Jira, Trello, MS Project, etc) ","Аналитические навыки [Поиск информации (научные статьи, документация)]",Аналитические навыки [Сбор и анализ требований к ПО],Аналитические навыки [Декомпозиция задач],Аналитические навыки [Планирование своей и чужой деятельности],Аналитические навыки [Тестирование],Аналитические навыки [Ведение документации],SoftSkills [Self management],SoftSkills [Коммуникации],SoftSkills [Работа в команде],SoftSkills [Наставничество],SoftSkills [Управление людьми],Какими еще навыками в области IT Вы обладаете? Оцените данные навыки,Оцените Ваш уровень мотивации [К работе над интересными проектами],Оцените Ваш уровень мотивации [Определить свой путь дальнейшего развития и развиваться в IT],Оцените Ваш уровень мотивации [Устроиться на интересную для себя работу],"Хотите ли Вы общаться с другими студентами и выпускниками, заинтересованными в развитии в области IT на базе СПбГУ на интересующие Вас темы?","Что Вам поможет развиваться быстрее в том направлении деятельности, которое Вы выбрали?"
9/4/2023 16:22:28,ST115981,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,"Звуковой анализ (спектральный, кепстральный), разработка музыкального программного обеспечения, разработка всевозможных мобильных приложений под iOS/iPadOS на Swift, разработка всевозможных приложений и информационных систем под macOS на Swift",,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,,"Swift - 4
Objective-C - 2","UIKit - 3
SwiftUI - 2","UML - 3
BPMN - 1
IDEF0 - 2
IDEF3 - 2
ER - 2",Xcode - 4,Xcode Simulator - 4,,,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",5 - Могу обучать других и давать советы,"2 - Пробовал, и частично овладел",0 - Не знаю,"1 - Слышал, но не применял",Хорошо,Плохо,Ниже среднего,Ниже среднего,Нормально,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
9/4/2023 16:55:25,ST067854,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,,,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,"NLP - 5/5
Разработка и деплой мл сервисов 3.5/5","Python - 5
Go - 3
JS - 2","PyTorch - 4
Numpy - 5
Pandas - 5
Sklearn - 4
FastApi - 3
Gin (Go) - 3
",UML - 3,"VS Code - 5
Git - 5",pytest - 5,Docker - 3,"Jira -4  
Trello - 4 
Notion - 4",4 - Постоянно применяю в работе и хорошо знаю теорию,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,Хорошо,Хорошо,Хорошо,Отлично,Хорошо,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
9/4/2023 17:32:24,ST097831,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",,,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"python (хорошо владею numpy, поскольку работала со сверточными нейронными сетями, pandas), командная строка linux, основные команды для работы с git","Python - 3
R - 2
JavaScript - 2
С# - 1","Numpy - 3
Pandas - 3",,"VS Code - 3
Git - 3",pytest - 3,Docker - 2,"Trello - 5
Jira - 2",4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял","2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Отлично,Отлично,Отлично,Нормально,Нормально,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,больше практики и общения с людьми из отрасли
9/4/2023 17:43:36,ST112193,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,"Интересно, можно попробовать",,,0 - Не знаю,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,,"C-1
Python-3","Numpy-3
PyTorch-3",,"VS Code-3
PyCharm-2","pytest-3
GTests-1",Docker-1,,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","1 - Слышал, но не применял",Ниже среднего,Нормально,Нормально,Ниже среднего,Ниже среднего,,"2 - Хочу что-то делать, но не знаю что и как","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","2 - Хочу что-то делать, но не знаю что и как",Да,
9/4/2023 17:46:44,ST112163,"Интересно, можно попробовать","Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",,,0 - Не знаю,0 - Не знаю,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,,С++ - 3 Python - 3 ,Numpy - 3 PyTorch - 1,,"VS Code - 3, PyCharm - 2, Git - 2",pytest - 2,Docker - 1,,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Ниже среднего,Нормально,Нормально,Ниже среднего,Ниже среднего,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","2 - Хочу что-то делать, но не знаю что и как","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
9/4/2023 17:55:11,ST094235,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,,"C++ - 5
x86-64_Assembler - 5",,,,,,,0 - Не знаю,"2 - Пробовал, и частично овладел",0 - Не знаю,0 - Не знаю,"2 - Пробовал, и частично овладел",0 - Не знаю,Ниже среднего,Нормально,Ниже среднего,Нормально,Плохо,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Нет,
9/4/2023 18:20:17,ST102619,Не интересно,Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,,"Последним проектом для меня это было создание маркетплейса по типу Avito. Моей целью было сделать проект в котором будет и backend и frontend, чтобы лучше понять общую работу программы. И хотя на frontend часть я потратил совсем чуть-чуть времени, так как мне это было не особо интересно, но вот на backend я потратил много сил и времени. Сложностей возникало довольно много, но с каждой из них я усиленно боролся. Например сначала я даже не представлял как и где мне хранить фотографии для объявлений, но после того как поизучал подходы к этому, понял что в моей ситуации лучшим выходом будет хранить фотографии напрямую в базе данных в виде байтов. Так же когда я создавал этот учебный проект, главным для меня было не просто написать код который будет запускаться и работать, а написать его грамотно и правильно. Например еще до создания этого проекта я слышал про отношения в базе данных, но особо не углублялся в то, что это такое. Однако когда я начал реализовывать этот проект, я изучил этот вопрос и выстроил правильные зависимости в базе данных. Ну и как заключительный пример сложности можно сказать что я постарался правильно настроить безопасность данных используя Spring Security, для чего так же пришлось искать много информации о том, как это сделать более правильно.

https://github.com/Abobus1k/NeAvito",5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,0 - Не знаю,,"Java - 4
Python - 4
C++ - 3
Javascript - 2","Spring Boot - 3
Spring Security - 3
Spring JDBC - 3
Hibernate - 3",,"VS Code - 3
IntelliJ IDEA - 3
Git - 3
",JUnit - 2,Docker - 3,,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Хорошо,Хорошо,Хорошо,Ниже среднего,Ниже среднего,,4 - Готов выполнять задания на благо команды,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",5 - Готов сам стать мотиватором для других,Да,
9/4/2023 18:36:35,ST068359,Не интересно,Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,4 - Применял в проекте в команде,4 - Применял в проекте в команде,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,,"C# - 5
Python - 3
Java - 2
C++ - 2","EF Core - 3
Numpy - 3
PyTorch - 2",,"Visual Studio - 4
Git - 3
VS Code - 3","XUnit - 3
pytest - 2","Docker - 3
Kubernetes - 3",Jira - 3,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял",4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,Нормально,Ниже среднего,Нормально,Хорошо,Нормально,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
9/4/2023 19:43:34,ST076784,Не интересно,Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,,"Пишу для самообучения монолитный сервис без фронта типа stepik. Стек: Java Spring Boot, postgresql",3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,0 - Не знаю,0 - Не знаю,"Трогал docker 1/5(могу на нём развернуть сервер с бд), Spring Security 2/5, git 2/5(Не смогу какие-то проблемы быстро решить, если main ветку, например, запороть), миграции баз данных 2/5","Java - 3
C++ - 2
Python - 2
","Spring - 2 
Spring MVC - 2 
Spring Boot - 3 
Hibernate - 2",,"IntelijIdea - 3
Git - 2 
PyCharm - 1
Clion - 2",JUnit - 1,Docker - 1,,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","1 - Слышал, но не применял",Нормально,Нормально,Нормально,Ниже среднего,Ниже среднего,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",4 - Готов выполнять задания на благо команды,Да,Интересный для меня стек технологий
9/4/2023 19:59:08,ST095277,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,"https://github.com/MicAPic/kunst 
https://github.com/GeorgeD615/MartianWalk
https://github.com/MicAPic/projectMouse
программист, геймдизайнер ",4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,0 - Не знаю,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,0 - Не знаю,0 - Не знаю,Писал несложные игровые проекты на движке Unity(C#) чаще всего в рамках участия в гейм джемах. Можно ознакомиться здесь(https://georgedavlyatshin.itch.io/),"С++ - 2
С# - 4
Python - 1
Java - 1
Haskell - 1",.NET - 2 ,,"GitHub - 3
VisualStudio - 3",,,,4 - Постоянно применяю в работе и хорошо знаю теорию,0 - Не знаю,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","1 - Слышал, но не применял",Отлично,Хорошо,Хорошо,Нормально,Нормально,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,"Больше свободного времени, наставничество, возможность опробовать и улучшить скиллы на примере реальных кейсов "
9/4/2023 20:20:58,ST069505,Не интересно,Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,"STT, TTS",разрабатываю ml-сервис в финтехе,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,4 - Применял в проекте в команде,0 - Не знаю,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,,"Python -- 4, Golang -- 4","Numpy -- 4, PyTorch -- 3, TF 2.0 -- 3,  Airflow -- 4, triton serving -- 3 (не увидела графы про развертывание, поэтому добавлю тут k8s -- 4, helm -- 4)",UML -- 2,"Git -- 3, VS code -- 4","pytest, unittest -- 3, пакет testing из golang -- 3","Docker -- 4, Gitlab CI -- 4",Jira -- 3,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,Нормально,Хорошо,Хорошо,Хорошо,Нормально,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,
9/4/2023 20:36:00,ST095276,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,,,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,0 - Не знаю,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"Работа с СУБД - на уровне 2 - Изучал информацию и частично разобрался
Разработка мобильного приложения на Java - на уровне 3 - Пробовал на практике в простых задачах","С++ - 2
Java - 2
Python - 3
SQL - 2
","Numpy - 3
Pandas - 4
Matplotlib - 3
Seaborn - 3
",,"VS Code - 4
Git - 3","GTests - 2
","Docker - 1
",,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,5 - Могу обучать других и давать советы,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял",Отлично,Отлично,Отлично,Отлично,Хорошо,,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,4 - Готов выполнять задания на благо команды,Да,"Изучение открытых проектов, прохождение онлайн-курсов по интересующим технологиям, участие в различных соревнованиях, прохождение собеседований с целью выявления пробелов в знаниях и умениях"
9/4/2023 20:42:26,ST095286,Не интересно,Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,"В первую очередь интересна разработка веб-сервисов, затем вторым приоритетом идет devops и инфраструктура (k8s, хранилки, телеметрия и прочее)","Стажировался и продолжаю работать в команде телеметрии Контура как бекенд разработчик, соотвественно мне интересен бек и девопс
опенсорс проект: https://github.com/moira-alert/moira",4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","Отлично знаю golang и очень хочу в команду с go стеком, также неплохо знаю Rust, C++ и немного Python, работал с Postgres, MongoDB, Redis, вебсокетами, многими гошными вебфреймворками и прочим","Go - 5
Rust - 4
Python - 3
C++ - 2","Gin, chi - 5
fastapi - 3",Lucidchart - 3,"Vscode, git - 5
grafana, kibana - 4","testify, goconvey, gomock, gohit - 5
pytest - 4","Gitlab ci  - 5
docker, k8s - 4","Trello, youtrack - 5",5 - Могу обучать других и давать советы,3 - Искал доп информацию и пытался прокачаться,5 - Могу обучать других и давать советы,"2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,Отлично,Хорошо,Хорошо,Нормально,Ниже среднего,люблю писать код,4 - Готов выполнять задания на благо команды,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,"Дать мне больше свободы, не давать большой нагрузки"
9/4/2023 20:56:31,ST086871,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,2 - Изучал информацию и частично разобрался,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",,"C++ 2
Python 3
C# 2",,,"VS Code 1
VS Community 2
PyCharm 2
Git 1",,,,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял",Хорошо,Хорошо,Нормально,Нормально,Нормально,"Интересовался методологиями разработки, но на практике не применял","2 - Хочу что-то делать, но не знаю что и как",4 - Готов выполнять задания на благо команды,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,"Единомышленники в окружении, заинтересованные своим делом люди, люди с опытом в IT сфере"
9/4/2023 21:04:01,ST095297,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,,,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",,"C++ - 4
Python - 3","Numpy - 3
Pandas - 3
Matplotlib - 3
Plotly - 2
SciPy - 2
SFML - 1",,"Visual Studio - 4
PyCharm - 3
Git - 3
GoLand - 1",GTests - 2,,miro - 3,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял",4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,Хорошо,Отлично,Отлично,Отлично,Хорошо,,"2 - Хочу что-то делать, но не знаю что и как",4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,"Больше практики, стажировки, дополнительные онлайн-курсы "
